QB_diff,OL_adv_1,OL_adv_2,WR_adv_1,WR_adv_2,RB_adv_1,RB_adv_2,TE_diff,PK_diff,P_diff,QB1_vs_DB_2,QB2_vs_DB_1,PASS_SYNERGY_diff,team_1_is_home,season,team_1,team_2,target
0.0,-3.0,1.75,-2.0,2.75,0.0,1.0,-3.0,2.0,0.0,0.0,2.25,-1.2894736842105263,0,2021,Central Arkansas,Arkansas State,0
0.0,-1.0,-2.0,-1.0,0.5,3.0,0.3333333333333335,0.0,0.0,0.0,-2.0,-2.5,-0.5263157894736843,1,2021,Troy,Southern,1
0.0,-2.0,-1.0,0.5,-1.0,0.3333333333333335,3.0,0.0,0.0,0.0,-2.5,-2.0,0.5263157894736843,0,2021,Southern,Troy,0
4.0,3.0,-3.0,3.5,-3.0,4.0,-3.0,0.0,0.0,0.0,4.0,-3.0,3.0263157894736845,1,2021,Middle Tennessee,Monmouth,1
-4.0,-3.0,3.0,-3.0,3.5,-3.0,4.0,0.0,0.0,0.0,-3.0,4.0,-3.0263157894736845,0,2021,Monmouth,Middle Tennessee,0
0.0,3.4,-4.5,3.25,-3.25,3.3333333333333335,-1.0,4.0,3.0,3.0,-0.75,-3.25,1.8947368421052633,1,2021,South Carolina,Eastern Illinois,1
0.0,-4.5,3.4,-3.25,3.25,-1.0,3.3333333333333335,-4.0,-3.0,-3.0,-3.25,-0.75,-1.8947368421052633,0,2021,Eastern Illinois,South Carolina,0
-1.0,-1.2,0.9500000000000002,0.0,1.0,0.0,1.0,0.0,-2.0,-3.0,0.0,1.0,-0.7894736842105261,1,2021,Texas State,Baylor,0
1.0,0.9500000000000002,-1.2,1.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.7894736842105261,0,2021,Baylor,Texas State,1
-1.0,1.9500000000000002,-2.25,-0.25,0.5,0.0,0.0,1.0,3.0,-3.0,-0.25,1.0,-0.4473684210526314,1,2021,Houston,Texas Tech,0
1.0,-2.25,1.9500000000000002,0.5,-0.25,0.0,0.0,-1.0,-3.0,3.0,1.0,-0.25,0.4473684210526314,0,2021,Texas Tech,Houston,1
2.0,0.20000000000000018,-1.4,0.75,-1.0,1.0,-1.333333333333333,2.0,0.0,-2.0,1.75,-1.0,1.7368421052631575,1,2021,Auburn,Akron,1
-2.0,-1.4,0.20000000000000018,-1.0,0.75,-1.333333333333333,1.0,-2.0,0.0,2.0,-1.0,1.75,-1.7368421052631575,0,2021,Akron,Auburn,0
0.0,1.7000000000000002,-0.5,0.75,0.75,-0.6666666666666665,0.6666666666666665,0.0,0.0,3.0,0.75,0.75,0.0,1,2021,Purdue,Oregon State,1
0.0,-0.5,1.7000000000000002,0.75,0.75,0.6666666666666665,-0.6666666666666665,0.0,0.0,-3.0,0.75,0.75,0.0,0,2021,Oregon State,Purdue,0
0.0,0.0,-1.2999999999999998,1.0,-0.25,0.6666666666666665,-0.3333333333333335,0.0,-3.0,-1.0,1.0,0.75,0.26315789473684204,1,2021,Illinois,UTSA,0
0.0,-1.2999999999999998,0.0,-0.25,1.0,-0.3333333333333335,0.6666666666666665,0.0,3.0,1.0,0.75,1.0,-0.26315789473684204,0,2021,UTSA,Illinois,1
1.0,0.0,-0.75,1.0,-0.75,1.0,-0.3333333333333335,-3.0,3.0,1.0,1.0,-0.75,0.15789473684210487,1,2021,Georgia Tech,Northern Illinois,0
-1.0,-0.75,0.0,-0.75,1.0,-0.3333333333333335,1.0,3.0,-3.0,-1.0,-0.75,1.0,-0.15789473684210487,0,2021,Northern Illinois,Georgia Tech,1
3.0,3.0,-3.0,3.5,-3.0,2.0,-3.3333333333333335,1.0,0.0,0.0,3.0,-3.0,2.710526315789474,1,2021,North Texas,Northwestern State,1
