year,team,conference,group,avg_stars,num_commits,avg_rating,gini,rank,points,period
2009,South Carolina,SEC,Power 4,3.466666666666667,15,0.89698,0.031072165266103416,14.0,257.08,pre_nil
2009,South Florida,Big East,G5 / Ind.,3.1538461538461537,13,0.8592923076923077,0.027358414890499377,26.0,222.52,pre_nil
2009,Southern Miss,Conference USA,G5 / Ind.,2.923076923076923,13,0.8380384615384616,0.013161192681964317,52.0,183.5,pre_nil
2009,Stanford,Pac-10,G5 / Ind.,3.3846153846153846,13,0.8763538461538461,0.033269908967723,21.0,232.43,pre_nil
2009,Syracuse,Big East,G5 / Ind.,2.5833333333333335,12,0.805475,0.026584554677176696,92.0,128.0,pre_nil
2009,TCU,Mountain West,G5 / Ind.,3.1818181818181817,11,0.8527545454545454,0.02461057138336539,44.0,196.02,pre_nil
2009,Temple,Mid-American,G5 / Ind.,2.1538461538461537,13,0.7600230769230769,0.029289051099363292,110.0,82.03,pre_nil
2009,Tennessee,SEC,Power 4,4.125,8,0.9510875,0.019351203024419898,8.0,264.62,pre_nil
2009,Texas,Big 12,Power 4,4.071428571428571,14,0.9424785714285714,0.018406199696652265,6.0,277.12,pre_nil
2009,Texas A&M,Big 12,Power 4,3.235294117647059,17,0.865764705882353,0.022024251761947816,27.0,219.98,pre_nil
2009,Texas Tech,Big 12,Power 4,3.142857142857143,14,0.8469928571428572,0.024976115688075468,39.0,206.43,pre_nil
2009,Toledo,Mid-American,G5 / Ind.,2.3684210526315788,19,0.7675052631578947,0.04563405354492799,86.0,131.44,pre_nil
2009,Tulane,Conference USA,G5 / Ind.,2.5217391304347827,23,0.8019826086956521,0.024814683904186233,79.0,150.56,pre_nil
2009,Tulsa,Conference USA,G5 / Ind.,2.9473684210526314,19,0.8280052631578948,0.018077688075033772,58.0,174.21,pre_nil
2009,UAB,Conference USA,G5 / Ind.,2.1333333333333333,15,0.7574733333333333,0.02726021855504711,80.0,149.82,pre_nil
2009,UCF,Conference USA,G5 / Ind.,2.8947368421052633,19,0.8231105263157895,0.02772538027969498,67.0,163.27,pre_nil
2009,UCLA,Pac-10,G5 / Ind.,3.4444444444444446,18,0.8982555555555556,0.03171923047425839,13.0,258.45,pre_nil
2009,UConn,Big East,G5 / Ind.,2.789473684210526,19,0.8034421052631578,0.02938464864789315,81.0,142.56,pre_nil
2009,UL Monroe,Sun Belt,G5 / Ind.,2.25,24,0.771,0.02658254036713816,101.0,116.77,pre_nil
2009,UNLV,Mountain West,G5 / Ind.,2.4615384615384617,13,0.795976923076923,0.029066287869827453,84.0,132.75,pre_nil
2009,USC,Pac-10,G5 / Ind.,4.133333333333334,15,0.95002,0.023252843555017996,2.0,289.28,pre_nil
2009,Utah,Mountain West,G5 / Ind.,2.8181818181818183,11,0.8263454545454546,0.02734933628810019,46.0,195.36,pre_nil
2009,Utah State,Western Athletic,G5 / Ind.,2.0714285714285716,14,0.7535,0.02390206216670478,109.0,84.41,pre_nil
2009,Vanderbilt,SEC,Power 4,3.0,10,0.83377,0.013786775564163058,60.0,169.67,pre_nil
2009,Virginia,ACC,Power 4,3.0,14,0.8436357142857143,0.03744906295153414,33.0,210.97,pre_nil
2009,Virginia Tech,ACC,Power 4,3.090909090909091,11,0.8682454545454547,0.03747845188549789,25.0,224.32,pre_nil
2009,Wake Forest,ACC,Power 4,2.6153846153846154,13,0.8153384615384615,0.02881149986217337,62.0,167.36,pre_nil
2009,Washington,Pac-10,G5 / Ind.,2.75,8,0.8193125,0.02129643730204977,75.0,154.97,pre_nil
2009,Washington State,Pac-10,G5 / Ind.,2.8,15,0.8232666666666667,0.019164844423997036,63.0,166.89,pre_nil
2009,West Virginia,Big East,G5 / Ind.,3.357142857142857,14,0.8699071428571428,0.0306923442441253,24.0,225.23,pre_nil
2009,Western Michigan,Mid-American,G5 / Ind.,2.4761904761904763,21,0.7868666666666667,0.021173562776397186,98.0,123.17,pre_nil
2009,Wisconsin,Big Ten,Power 4,3.0,12,0.8507666666666668,0.036898091483390356,42.0,199.62,pre_nil
2009,Wyoming,Mountain West,G5 / Ind.,2.4545454545454546,22,0.787059090909091,0.025740503473323295,96.0,124.54,pre_nil
2010,Air Force,Mountain West,G5 / Ind.,3.0,2,0.8333,0.0,120.0,26.17,pre_nil
2010,Akron,Mid-American,G5 / Ind.,2.5714285714285716,21,0.8032904761904762,0.02133797158540804,102.0,136.89,pre_nil
2010,Alabama,SEC,Power 4,3.8421052631578947,19,0.9195157894736843,0.03239088826429449,4.0,284.2,pre_nil
2010,Arizona,Pac-10,G5 / Ind.,2.9411764705882355,17,0.838735294117647,0.029454463343337435,58.0,183.75,pre_nil
2010,Arizona State,Pac-10,G5 / Ind.,3.125,16,0.85201875,0.015655373450931976,40.0,203.28,pre_nil
2010,Arkansas,SEC,Power 4,3.0,17,0.8430294117647059,0.03169078360260979,41.0,203.21,pre_nil
2010,Arkansas State,Sun Belt,G5 / Ind.,2.5555555555555554,18,0.7999722222222222,0.021963339501907007,94.0,142.14,pre_nil
2010,Army,FBS Independents,G5 / Ind.,2.1153846153846154,26,0.766796153846154,0.01899299720462834,113.0,99.95,pre_nil
2010,Auburn,SEC,Power 4,3.5416666666666665,24,0.8929583333333334,0.037555409966249884,6.0,277.2,pre_nil
2010,BYU,Mountain West,G5 / Ind.,3.0476190476190474,21,0.8540190476190477,0.029570200470273183,33.0,211.56,pre_nil
2010,Ball State,Mid-American,G5 / Ind.,2.772727272727273,22,0.8134136363636363,0.014761023785984663,93.0,142.28,pre_nil
2010,Baylor,Big 12,Power 4,3.0555555555555554,18,0.8523333333333334,0.025303813489533578,38.0,206.15,pre_nil
2010,Boise State,Western Athletic,G5 / Ind.,2.75,8,0.8247375,0.025013640400568166,110.0,115.97,pre_nil
2010,Boston College,ACC,Power 4,3.1666666666666665,18,0.8551666666666667,0.027695128053400127,45.0,196.9,pre_nil
2010,Bowling Green,Mid-American,G5 / Ind.,2.8461538461538463,26,0.8057269230769232,0.02348370015618625,89.0,146.16,pre_nil
2010,Buffalo,Mid-American,G5 / Ind.,2.45,20,0.7911050000000001,0.017989078339928615,108.0,125.67,pre_nil
2010,California,Pac-10,G5 / Ind.,3.625,16,0.896825,0.029137512567808513,20.0,233.8,pre_nil
2010,Central Michigan,Mid-American,G5 / Ind.,2.526315789473684,19,0.8033368421052632,0.015179069384428898,106.0,127.67,pre_nil
2010,Cincinnati,Big East,G5 / Ind.,2.909090909090909,22,0.8303136363636363,0.0235510426111336,56.0,184.21,pre_nil
