team,conference,mascot,latitude,longitude,venue_name
Eastern New Mexico,Lone Star,Greyhounds,34.1861922,-103.334397,Al Whitehead Field at Greyhound Stadium
Eastern Washington,Big Sky,Eagles,47.49278,-117.587353,Roos Field
East Stroudsburg University,Pennsylvania State Athletic,Warriors,40.9995386,-75.1812913,Eiler-Martin Stadium
East Tennessee State,Southern,Buccaneers,36.299084,-82.374117,William B. Greene Jr. Stadium
East Texas A&M,Southland,Lions,33.2442615,-95.9006353,Memorial Stadium (Commerce TX)
East Texas Baptist University,American Southwest,Tigers,32.5447756,-94.3661004,Ornelas Stadium
Edinboro University,Pennsylvania State Athletic,Fighting Scots,41.8742225,-80.1317236,Sox Harrison Stadium
Edward Waters,SIAC,Tigers,30.3321838,-81.655651,Earl Kitchings Stadium
Elizabeth City State,CIAA,Vikings,36.2956836,-76.2247697,Roebuck Stadium
Elmhurst,CCIW,Bluejays,41.8994745,-87.9403418,Langhorst Field
Elon,CAA,Phoenix,36.1101269,-79.5079979,Rhodes Stadium
Emory & Henry College,South Atlantic,Wasps,37.3065238,-80.0267067,Fred Selfe Stadium at Nicewonder Field
Emporia State University,Mid America,Hornets,38.4040054,-96.181623,Francis G. Welch Stadium
Endicott College,Commonwealth Coast,Gulls,42.5584284,-70.8800491,Hempstead Stadium
ERSKINE,Carolinas,Flying Fleet,34.1954001,-82.1617883,J.W. Babb Stadium
Eureka College,NACC,Red Devils,40.7213015,-89.2726708,Pete FioRito Stadium at McKinzie Field
Fairmont State,Mountain East,Falcons,39.4850848,-80.1425781,Duvall-Rosier Field
Fayetteville State,CIAA,Broncos,35.0525759,-78.878292,"Luther ""Nick"" Jeralds Stadium"
FDU-Florham,Mid Atlantic,Devils,40.7598227,-74.417097,Robert T. Shields Field
Ferris State,GLIAC,Bulldogs,43.698078,-85.483656,Top Taggart Field
Ferrum,Carolinas,Panthers,36.937856999999994,-80.01424992208018,W.B. Adams Stadium
Findlay,Great Midwest Athletic,Oilers,41.0413873,-83.6503982,Donnell Stadium
Fitchburg State,MSCAC,Falcons,42.5903661,-71.8119837,Elliot Field Athletic Complex
Florida,SEC,Gators,29.6499357,-82.3485788,Ben Hill Griffin Stadium
Florida A&M,SWAC,Rattlers,30.4261632,-84.2923095,Bragg Memorial Stadium
Florida Atlantic,American Athletic,Owls,26.3763763,-80.1015759,FAU Stadium
