year,team,rec_qb,rec_rb,rec_wr,rec_ol,rec_dl,rec_lb,rec_db
2018,Georgia Southern,0.7850500047206879,0.8389000296592712,0.8123800039291382,0.7797999978065491,0.8042500019073486,0.8436000049114227,0.8063750118017197
2018,Georgia State,0.8393999934196472,0.8117000063260397,0.8202600002288818,0.7903250008821487,0.7901750057935715,0.8025999963283539,0.794320011138916
2018,Georgia Tech,,0.833950012922287,0.8395000100135803,0.8350000083446503,0.8439333339532217,0.8616499900817871,0.8387749940156937
2018,Grambling,0.7953000068664551,0.7631000280380249,,,,,0.77920001745224
2018,Grand Valley State University,0.7497000098228455,0.7698000073432922,0.7196999788284302,0.7697499990463257,,,
2018,Harvard,0.7997999787330627,0.8016000092029572,0.8093000054359436,0.7597500085830688,0.816100001335144,0.7903000116348267,0.7497000098228455
2018,Hawai'i,0.7831500172615051,0.7590000033378601,0.7809833387533823,0.7797500044107437,0.8264000018437704,,0.7953500151634216
2018,Holy Cross,,,0.7903000116348267,,0.7364000082015991,,
2018,Houston,0.8600999712944031,0.8633000254631042,0.8292800068855286,0.8020666837692261,0.8398666580518087,0.8270999987920126,0.8110499978065491
2018,Houston Christian,0.7631000280380249,,,0.7842000126838684,,,
2018,Howard,,,0.805400013923645,0.7397000193595886,0.8264999985694885,0.7803000211715698,
2018,Idaho,0.7892000079154968,0.7998000085353851,0.7612000107765198,0.7580000162124634,0.7597000002861023,0.7600600123405457,0.7711000144481659
2018,Idaho State,,0.8198999762535095,0.7597000002861023,0.7297000288963318,0.7096999883651733,,
2018,Illinois,0.8205000013113022,0.8214000165462494,0.8338333368301392,0.8657999992370605,0.87950000166893,0.8232499957084656,0.8207800030708313
2018,Illinois State,0.7897999882698059,,,0.7263333400090536,,,0.7730500102043152
2018,Incarnate Word,,,,,0.7903000116348267,0.8014000058174133,
2018,Indiana,0.8748999834060669,0.8574666778246561,0.8434750139713287,0.8061666687329611,0.8516799926757812,0.8398666580518087,0.8356142895562308
2018,Indiana State,,,0.6996999979019165,,,,0.7497000098228455
